epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,10712.6,0.61355,0.30302,0.00379,0.89307,0.84798,0.88494,0.72828,0.52839,0.34797,0.00644,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10895.4,0.61682,0.30561,0.00372,0.91176,0.85556,0.89584,0.73585,0.52211,0.34368,0.00625,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,11077.5,0.60561,0.29407,0.00368,0.91029,0.85502,0.88824,0.73059,0.52241,0.3547,0.00621,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,11259.3,0.60713,0.29654,0.00367,0.90223,0.85581,0.88635,0.73298,0.51677,0.34397,0.00608,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,11441.1,0.59734,0.29016,0.00357,0.93128,0.82724,0.88498,0.73437,0.52014,0.35152,0.00615,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11623.6,0.59726,0.28634,0.00355,0.92144,0.84958,0.89259,0.73958,0.5195,0.34665,0.00609,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11806.2,0.5858,0.28229,0.00353,0.93945,0.82579,0.88037,0.73011,0.51529,0.36363,0.00605,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11988.5,0.58951,0.28002,0.00351,0.90811,0.86417,0.89018,0.73776,0.51494,0.35031,0.00606,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,12170.7,0.59026,0.28198,0.00355,0.91149,0.84654,0.88675,0.73423,0.51465,0.35109,0.00606,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,12353.3,0.58527,0.28174,0.0035,0.88603,0.8598,0.88037,0.73286,0.51165,0.35305,0.00601,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,12535.1,0.57585,0.27677,0.00345,0.90304,0.86245,0.8873,0.7374,0.51447,0.34816,0.00603,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12717.4,0.57454,0.27229,0.00344,0.91731,0.8485,0.8844,0.73318,0.51376,0.35432,0.00601,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12900.1,0.57533,0.27357,0.00341,0.91224,0.84296,0.88648,0.73264,0.51714,0.35439,0.00607,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,13082.8,0.56469,0.26844,0.00335,0.91668,0.85511,0.88762,0.73137,0.51863,0.35369,0.0061,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,13265.1,0.56415,0.26835,0.0034,0.89905,0.85648,0.88372,0.73071,0.5126,0.3559,0.006,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,13447.1,0.55807,0.27105,0.00327,0.91011,0.84355,0.88869,0.73747,0.51112,0.3545,0.00596,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,13628.7,0.55691,0.26362,0.00329,0.90358,0.85813,0.88136,0.736,0.51052,0.36121,0.00598,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,13810.5,0.55823,0.26306,0.00325,0.92245,0.84359,0.88378,0.73271,0.51302,0.36059,0.00601,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,13997.8,0.55281,0.26333,0.00324,0.90571,0.86239,0.886,0.73512,0.51408,0.36248,0.00603,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,14179.2,0.54687,0.25342,0.00324,0.90316,0.8634,0.88832,0.7355,0.51383,0.35992,0.00605,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
